name,code,location
GB Airways,GT,United Kingdom
Galaxy Air,7O,Kyrgyzstan
Galileo International,1G,United States
Gambia International Airlines,GC,Gambia
Gandalf Airlines,G7,Italy
Garuda Indonesia,GA,Indonesia
Georgian Airways,A9,Georgia
Georgian National Airlines,QB,Georgia
Germania,ST,Germany
Germanwings,4U,Germany
Gestair,GP,Spain
Ghana Airways,GH,Ghana
Ghana International Airlines,G0,Ghana
Go One Airways,GK,United Kingdom
Golden Air,DC,Sweden
Gorkha Airlines,G1,Nepal
Great Lakes Airlines,ZK,United States
Great Wall Airlines,IJ,China
Grupo TACA,TA,Costa Rica
Guine Bissaur Airlines,G6,Guinea-Bissau
Guinee Airlines,J9,Guinea
Gulf Air Bahrain,GF,Bahrain
Guyana Airways 2000,GY,\N
Hageland Aviation Services,H6,United States
Hainan Airlines,HU,China
Hainan Phoenix Information Systems,1R,China
Haiti Ambassador Airlines,2T,Haiti
Hamburg International,4R,Germany
Hapag-Lloyd Express (TUIfly),X3,Germany
Hapagfly,HF,Germany
Harbor Airlines,HB,United States
Harmony Airways,HQ,Canada
Hawaiian Airlines,HA,United States
Hawkair,BH,Canada
Heavylift Cargo Airlines,HN,Australia
Heli France,8H,France
Helijet,JB,Canada
Helios Airways,ZU,Cyprus
Hellas Jet,T4,Greece
Hello,HW,Switzerland
Helvetic Airways,2L,Switzerland
Hemus Air,DU,Bulgaria
Hex'Air,UD,France
Hi Fly,5K,Portugal
Hokkaido International Airlines,HD,Japan
Hola Airlines,H5,Spain
Hong Kong Express Airways,UO,Hong Kong SAR of China
Hope Air,HH,Canada
Horizon Air,QX,United States
HÃ©li SÃ©curitÃ© Helicopter Airlines,H4,France
IBC Airways,II,United States
ICAR Airlines,C3,Ukraine
INFINI Travel Information,1F,Japan
ITA Software,1U,United States
Iberia Airlines,IB,Spain
Ibex Airlines,FW,Japan
Icelandair,FI,Iceland
Imair Airlines,IK,Azerbaijan
IndiGo Airlines,6E,India
Indian Airlines,IC,India
Indonesia AirAsia,QZ,Indonesia
Indonesian Airlines,IO,Indonesia
Interair South Africa,D6,South Africa
Intercontinental de Aviación,RS,Colombia
Interlink Airlines,ID,South Africa
International Business Air,6I,Sweden
Intersky,3L,Austria
Interstate Airline,I4,Netherlands
Iran Air,IR,Iran
Iran Aseman Airlines,EP,Iran
Iraqi Airways,IA,Iraq
Island Airlines,IS,United States
Island Express,2S,United States
Islands Nationair,CN,Papua New Guinea
Islas Airways,IF,Spain
Islena De Inversiones,WC,Honduras
Israir,6H,Israel
Itali Airlines,9X,Italy
Itek Air,GI,Kyrgyzstan
J-Air,XM,Japan
JAL Express,JC,Japan
JALways,JO,Japan
JSC Transport Automated Information Systems,1M,Russia
Japan Airlines Domestic,JL,Japan
Japan Asia Airways,EG,Japan
Japan Transocean Air,NU,Japan
Jat Airways,JU,Serbia
Jatayu Airlines,VJ,Indonesia
Jet Airways,9W,India
Jet Airways,QJ,United States
Jet2.com,LS,United Kingdom
JetBlue Airways,B6,United States
Jetairfly,JF,Belgium
Jetclub,0J,Switzerland
JetsGo,SG,Canada
Jetstar Airways,JQ,Australia
Jetstar Asia Airways,3K,Singapore
Jett8 Airlines Cargo,JX,Singapore
Jetx Airlines,GX,Iceland
Jordan Aviation,R5,Jordan
KD Avia,KD,Russia
KLM Cityhopper,WA,Netherlands
KLM Royal Dutch Airlines,KL,Netherlands
Kalitta Air,K4,United States
Kam Air,RQ,Afghanistan
Kampuchea Airlines,E2,Cambodia
Karat,V2,Russia
Kavminvodyavia,KV,Russia
Kenmore Air,M5,United States
Kenya Airways,KQ,Kenya
Kingfisher Airlines,IT,India
Kish Air,Y9,Iran
Kiwi International Air Lines,KP,United States
Kogalymavia Air Company,7K,Russia
Komiinteravia,8J,Russia
Korean Air,KE,Republic of Korea
Krasnojarsky Airlines,7B,Russia
Krylo Airlines,K9,Russia
Kuban Airlines,GW,Russia
Kuwait Airways,KU,Kuwait
Kuzu Airlines Cargo,GO,Turkey
Kyrgyz Airlines,N5,Kyrgyzstan
Kyrgyzstan Airlines,R8,Kyrgyzstan
LACSA,LR,Costa Rica
LAI - Linea Aerea IAACA,KG,Venezuela
LAN Airlines,LA,Chile
LAN Express,LU,Chile
LAN Peru,LP,Peru
LOT Polish Airlines,LO,Poland
LTU International,LT,Germany
Lagun Air,N6,Spain
Lao Airlines,QV,Lao Peoples Democratic Republic
Laoag International Airlines,L7,Philippines
Lauda Air,NG,Austria
Lebanese Air Transport,LQ,Lebanon
Leeward Islands Air Transport,LI,Antigua and Barbuda
Libyan Arab Airlines,LN,Libya
Linea Aerea de Servicio Ejecutivo Regional,8z,Venezuela
Linhas Aéreas de Moçambique,LM,Mozambique
Lion Mentari Airlines,JT,Indonesia
Lloyd Aereo Boliviano,LB,Bolivia
Luftfahrtgesellschaft Walter,HE,Germany
Lufthansa Cargo,LH,Germany
Lufthansa CityLine,CL,Germany
Lufthansa Systems,L1,Germany
Lufttaxi Fluggesellschaft,DV,Germany
Lufttransport,L5,Norway
Luxair,LG,Luxembourg
Lviv Airlines,5V,Ukraine
Lynden Air Cargo,L2,United States
Líneas Aéreas Privadas Argentinas,MJ,Argentina
MAT Macedonian Airlines,IN,Macedonia
MIAT Mongolian Airlines,OM,Mongolia
Maersk,DM,Denmark
Mahan Air,W5,Iran
Mahfooz Aviation,M2,Gambia
Malaysia Airlines,MH,Malaysia
MalmÃ¶ Aviation,TF,Sweden
Malév Hungarian Airlines,MA,Hungary
Mandala Airlines,RI,Indonesia
Mandarin Airlines,AE,Taiwan
Mango,JE,South Africa
Marsland Aviation,M7,Sudan
Martinair,MP,Netherlands
Mastertop Linhas Aereas,Q4,Brazil
Maxair,8M,Sweden
Maxjet Airways,MY,United States
Maya Island Air,MW,Belize
Menajet,IM,Lebanon
Meridiana,IG,Italy
Merpati Nusantara Airlines,MZ,Indonesia
Mesa Airlines,YV,United States
Mesaba Airlines,XJ,United States
Metro Batavia,7P,Indonesia
Mexicana de Aviación,MX,Mexico
Middle East Airlines,ME,Lebanon
Midway Airlines,JI,United States
Midwest Airlines,YX,United States
Moldavian Airlines,2M,Moldova
Montenegro Airlines,YM,Montenegro
Moskovia Airlines,3R,Russia
Motor Sich,M9,Ukraine
Mountain Air Company,N4,Sierra Leone
MyTravel Airways,VZ,United Kingdom
Myanma Airways,UB,Myanmar
Myway Airlines,8I,Italy
Nas Air,P9,Mali
Nas Air,XY,Saudi Arabia
Nasair,UE,Eritrea
National Airlines,N7,United States
National Airlines,NA,United States
National Airways Cameroon,9O,Cameroon
National Jet Systems,NC,Australia
Nationwide Airlines,CE,South Africa
Nauru Air Corporation,ON,Nauru
Navitaire,1N,United States
Nepal Airlines,RA,Nepal
New England Airlines,EJ,United States
Niki,HG,Austria
Nippon Cargo Airlines,KZ,Japan
Nok Air,DD,Thailand
Nordeste Linhas Aereas Regionais,JH,Brazil
Nordic Regional,6N,Sweden
North Coast Aviation,N9,Papua New Guinea
Northern Dene Airways,U7,Canada
Northwest Airlines,NW,United States
Northwestern Air,J3,Canada
Norwegian Air Shuttle,DY,Norway
Nouvel Air Tunisie,BJ,Tunisia
Nova Airline,M4,Sudan
O'Connor Airlines,UQ,Australia
OAG,CR,United Kingdom
Oasis Hong Kong Airlines,O8,Hong Kong
Ocean Airlines,VC,Italy
Oceanair,O6,Brazil
Oceanic Airlines,O2,Guinea
Olympic Airlines,OA,Greece
Oman Air,WY,Oman
Omni Air International,OY,United States
Omskavia Airline,N3,Russia
Open Skies Consultative Commission,1L,United States
Orenburg Airlines,R2,Russia
Orient Thai Airlines,OX,Thailand
Ostfriesische Lufttransport,OL,Germany
Overland Airways,OJ,Nigeria
Ozjet Airlines,O7,Australia
PAN Air,PV,Spain
PB Air,9Q,Thailand
PLUNA,PU,Uruguay
PMTair,U4,Cambodia
Pace Airlines,Y5,United States
Pacific Airlines,BL,Vietnam
Pacific Blue,DJ,New Zealand
Pacific Coastal Airline,8P,Canada
Pacific East Asia Cargo Airlines,Q8,Philippines
Pacific Southwest Airlines,PS,United States
Pacific Wings,LW,United States
Pakistan International Airlines,PK,Pakistan
Palestinian Airlines,PF,Egypt
Pamir Airways,NR,Afghanistan
Pan American Airways,PN,United States
Panafrican Airways,PQ,Ivory Coast
Pantanal Linhas AÃ©reas,P8,Brazil
Paramount Airways,I7,India
Peninsula Airways,KS,United States
Philippine Airlines,PR,Philippines
Phuket Air,9R,Thailand
Piedmont Airlines (1948-1989),PI,United States
Pinnacle Airlines,9E,United States
Polar Air Cargo,PO,United States
Polynesian Airlines,PH,Samoa
Porter Airlines,PD,Canada
Portugalia,NI,Portugal
Potomac Air,BK,United States
Precision Air,PW,Tanzania
President Airlines,TO,Cambodia
Primaris Airlines,FE,United States
Private flight,-,\N
Proflight Commuter Services,P0,Zambia
Pulkovo Aviation Enterprise,FV,Russia
Qantas,QF,Australia
Qatar Airways,QR,Qatar
RACSA,R6,Guatemala
Radixx Solutions International,1D,United States
Reem Air,V4,Kyrgyzstan
Regional Airlines,FN,Morocco
Regional Express,ZL,Australia
RegionsAir,3C,United States
Republic Airlines,RW,United States
Republic Express Airlines,RH,Indonesia
Rico Linhas Aéreas,C7,Brazil
Rio Sul Serviços Aéreos Regionais,SL,Brazil
Rossiya,R4,Russia
Rotation International Air Services,GZ,Ethiopia
Royal Air Force,RR,United Kingdom
Royal Air Maroc,AT,Morocco
Royal Airlines,R0,Pakistan
Royal Brunei Airlines,BI,Brunei
Royal Jordanian,RJ,Jordan
Royal Phnom Penh Airways,RL,Cambodia
Royal Tongan Airlines,WR,Tonga
Russian Sky Airlines,P7,Russia
Rwandair Express,WB,Rwanda
Ryan International Airlines,RD,United States
Ryanair,FR,Ireland
Régional,YS,France
S7 Airlines,S7,Russia
SATA Air Acores,SP,Portugal
SATA International,S4,Portugal
SITA,XS,Belgium
SNCF,2C,France
Sabre Pacific,1Z,Australia
Sabre,1S,United States
Safair,FA,South Africa
Samara Airlines,E5,Russia
Santa Barbara Airlines,S3,Venezuela
Saratov Aviation Division,6W,Russia
Sat Airlines,HZ,Kazakhstan
Saudi Arabian Airlines,SV,Saudi Arabia
Scandinavian Airlines System,SK,Sweden
Scorpio Aviation,8S,\N
Seaborne Airlines,BB,United States
Servicios de Transportes Aéreos Fueguinos,FS,Argentina
Shaheen Air International,NL,Pakistan
Shandong Airlines,SC,China
Shanghai Airlines,FM,China
Shenzhen Airlines,ZH,China
Shuttle America,S5,United States
Sibaviatrans,5M,Russia
Sichuan Airlines,3U,China
Siem Reap Airways,FT,Cambodia
Sierra National Airlines,LJ,Sierra Leone
Silk Way Airlines,ZP,Azerbaijan
SilkAir,MI,Singapore
Singapore Airlines Cargo,SQ,Singapore
Siren-Travel,1H,Russia
Sirena,1Q,Russia
Sirin,R1,\N
Sky Airline,H2,Chile
Sky Express,XW,Russia
Sky Eyes,I6,Thailand
SkyEurope,NE,Slovakia
SkyWest,OO,United States
Skybus Airlines,SX,United States
Skymark Airlines,BC,Japan
Skynet Airlines,SI,Ireland
Skynet Asia Airways,6J,Japan
Skyservice Airlines,5G,Canada
Skywalk Airlines,AL,United States
Skyways Express,JZ,Sweden
Slok Air Gambia,S0,Gambia
Slovak Airlines,6Q,Slovakia
Solomon Airlines,IE,Solomon Islands
Sosoliso Airlines,SO,Nigeria
South African Airways,SA,South Africa
South East Asian Airlines,DG,Philippines
Southern Cross Distribution,1K,Australia
Southern Winds Airlines,A4,Argentina
Southwest Airlines,WN,United States
Spanair,JK,Spain
Spirit Airlines,NK,United States
Spring Airlines,9S,China
SriLankan Airlines,UL,Sri Lanka
Star Air,S6,Denmark
Star Flyer,7G,Japan
Sterling Airlines,NB,Denmark
Sudan Airways,SD,Sudan
Sun Country Airlines,SY,United States
Sun D'Or,7L,Israel
SunExpress,XQ,Turkey
Sunshine Express Airlines,CQ,Australia
Sunwing Airlines,WG,Canada
Surinam Airways,PY,Suriname
Swe Fly,WV,Sweden
Swedline Express,SM,Sweden
Swiss International Air Lines,LX,Switzerland
Swissair,SR,Switzerland
TAAG Angola Airlines,DT,Angola
TACV,VR,Portugal
TAM Brazilian Airlines,JJ,Brazil
TAM Mercosur,PZ,Paraguay
TAME,EQ,Ecuador
TAMPA,QT,Colombia
TAP Portugal,TP,Portugal
TNT Airways,3V,Belgium
TRIP Linhas Aéreas,8R,Brazil
TUI Airlines Belgium,TB,Belgium
TUIfly Nordic,6B,Sweden
Tandem Aero,TQ,Moldova
Tarom,RO,Romania
Tassili Airlines,SF,Algeria
Tatarstan Airlines,U9,Russia
Tavrey Airlines,T6,Ukraine
Tbilaviamsheni,L6,Georgia
Teamline Air,L9,Austria
Thai Air Cargo,T2,Thailand
Thai AirAsia,FD,Thailand
Thai Airways International,TG,Thailand
Thai Sky Airlines,9I,Thailand
Thai Star Airlines,T9,Thailand
Thalys,2H,Belgium
Thomas Cook Airlines,FQ,Belgium
Thomas Cook Airlines,MT,United Kingdom
Thomsonfly,BY,United Kingdom
Tiara Air,3P,Aruba
Tiger Airways,TR,Singapore
Titan Airways,ZT,United Kingdom
Tol-Air Services,TI,United States
Trans States Airlines,AX,United States
Trans World Airlines,TW,United States
TransAsia Airways,GE,Taiwan
Transaero Airlines,UN,Russia
Transavia Holland,HV,Netherlands
Transwest Air,9T,Canada
Travelsky Technology,1E,China
Tropic Air,PM,Belize
Tuninter,UG,Tunisia
Tunisair,TU,Tunisia
Turan Air,3T,Azerbaijan
Turkish Airlines,TK,Turkey
Turkmenistan Airlines,T5,Turkmenistan
Twin Jet,T7,France
UM Airlines,UF,Ukraine
US Airways,US,United States
US Helicopter Corporation,UH,United States
USA3000 Airlines,U5,United States
UTair Aviation,UT,Russia
Ukrainian Cargo Airways,6Z,Ukraine
United Airlines,UA,United States
United Feeder Service,U2,United States
United Parcel Service,5X,United States
Ural Airlines,U6,Russia
Uzbekistan Airways,HY,Uzbekistan
V Australia Airlines,VA,Australia
VASP,VP,Brazil
VIA Rail Canada,2R,Canada
VIM Airlines,NN,Russia
VLM Airlines,VG,Belgium
VRG Linhas Aereas,RG,Brazil
Valuair,VF,Singapore
Varig Logística,LC,Brazil
Viaggio Air,VM,Bulgaria
Vietnam Airlines,VN,Vietnam
Virgin Atlantic Airways,VS,United Kingdom
Virgin Express,TV,Belgium
Virgin Nigeria Airways,VK,Nigeria
Viva Macau,ZG,Macao
Vladivostok Air,XF,Russia
Volaris,Y4,Mexico
Volga-Dnepr Airlines,VI,Russia
Wayraperú,7W,Peru
WebJet Linhas Aéreas,WJ,Brazil
Welcome Air,2W,Austria
West Coast Air,8O,Canada
WestJet,WS,Canada
Widerøe,WF,Norway
Wind Jet,IV,Italy
Wings Air,1W,Indonesia
Wizz Air,W6,Bulgaria
World Airways,WO,United States
Worldspan,1P,United States
XL Airways France,SE,France
Xiamen Airlines,MF,China
Xtra Airways,XP,United States
Yamal Airlines,YL,Russia
Yangtze River Express,Y8,China
Yellow Air Taxi,Y0,United States
Yemenia,IY,Yemen
Yunnan Airlines,3Q,China
Yuzhmashavia,2N,Ukraine
Zambian Airways,Q3,Zambia
Zimex Aviation,C4,Switzerland
Zip,3J,Canada
Zoom Airlines,Z4,Canada
bmi,BD,United Kingdom
bmibaby,WW,United Kingdom
buzz,UK,\N
dba,DI,Germany
