name,manufacturer_id
A220,1
A300,1
A310,1
A318,1
A319,1
A320,1
A321,1
A330,1
A340,1
A350,1
A380,1
707,2
717,2
720,2
727,2
737,2
747,2
757,2
767,2
777,2
787,2
Challenger 300,3
Challenger 600,3
Challenger 601,3
Challenger 604,3
Challenger 605,3
Challenger 850,3
CSeries CS100,3
CSeries CS300,3
CRJ100,3
CRJ200,3
CRJ400,3
CRJ550,3
CRJ700,3
CRJ900,3
CRJ1000,3
Global 5000,3
Global 7500,3
Global 8000,3
Global Express,3
Learjet 40,3
Learjet 45,3
Learjet 55,3
Learjet 60,3
Learjet 70,3
Learjet 75,3
Learjet 85,3
Dash Q-400,3
Dash Q-300,3